c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,
2247,281,43,85,31,1539,73,201,246,1091,3
2508,53,11,30,24,1479,186,168,69,3711,3
2708,349,8,182,-266,119,205,226,159,579,3
2324,324,21,42,16,922,146,212,188,3474,3
2329,0,29,311,-595,1188,164,173,51,156,3
2663,201,21,124,70,1410,245,184,76,3147,3
2481,46,15,367,179,1433,223,204,111,1329,3
2272,119,24,253,-88,3494,231,187,72,2343,3
2426,38,6,428,67,1532,215,165,182,134,3
2239,87,44,30,14,1441,248,178,39,1077,3
2183,298,31,499,-742,637,121,211,223,1530,3
2241,313,33,206,4,891,161,220,197,465,3
2582,20,19,357,-846,1848,203,248,116,2406,3
2387,63,13,421,234,1022,157,214,147,1187,3
2362,286,23,60,24,1290,214,232,218,914,3
2358,305,28,256,16,755,38,208,216,2536,3
2186,270,31,91,35,1103,189,225,75,2425,3
2713,249,19,234,60,2111,214,248,169,725,3
2389,101,19,387,201,1255,248,188,85,1195,3
2331,289,36,60,22,2750,207,230,147,2814,3
2563,225,19,30,10,1230,174,212,178,966,3
2379,301,41,403,-283,1230,129,212,204,3006,3
2386,117,30,216,-908,1282,238,230,120,661,3
2803,343,25,576,0,277,161,157,165,306,3
2425,57,29,365,237,892,144,191,85,1405,3
2376,283,21,124,34,1492,158,219,186,1050,3
2317,150,9,150,42,644,238,240,178,781,3
1907,299,34,42,-496,594,120,195,246,1337,3
2285,235,21,124,34,760,82,212,164,2516,3
2396,301,37,256,-970,1256,88,192,157,932,3
2379,86,25,85,11,2225,228,218,122,3082,3
2319,316,23,463,68,713,154,225,181,524,3
2338,324,21,228,141,1409,155,157,186,2652,3
2394,171,10,70,166,467,222,219,122,3926,3
2357,164,16,108,45,2459,246,217,99,726,3
2239,343,2,290,95,1140,191,226,136,2226,3
2341,259,21,226,144,1423,159,249,178,1647,3
2086,141,29,230,-1381,1147,174,176,55,69,3
2399,330,20,610,-300,546,182,173,129,1404,3
1911,334,23,234,-506,655,144,205,175,467,3
2409,53,17,85,22,981,226,217,126,1266,3
2356,329,49,108,-1517,150,137,191,186,175,3
2290,135,32,442,49,1425,104,227,91,1994,3
2364,346,18,306,167,2835,170,146,162,1172,3
2489,119,26,457,243,135,185,228,145,825,3
2409,63,31,255,153,1486,247,211,66,474,3
2390,8,24,297,65,879,236,213,104,513,3
2212,7,23,30,-17,2459,182,138,81,1598,3
2392,163,17,590,218,1318,134,185,214,1785,3
2242,177,16,42,16,738,132,222,217,1608,3
2344,252,31,242,25,841,139,178,169,3578,3
2406,319,25,42,21,960,119,181,187,1299,3
2370,52,28,410,200,1199,222,123,64,860,3
2158,291,24,42,14,685,63,187,212,2701,3
2874,326,20,212,102,268,130,160,115,277,3
2502,2,6,482,123,745,211,228,154,2427,3
2395,145,15,30,10,901,241,159,155,2157,3
2301,108,19,202,166,2946,249,215,87,1767,3
2448,53,24,366,133,339,226,191,127,366,3
2376,315,23,150,84,454,72,213,199,680,3
2264,340,44,170,40,350,136,175,167,1099,3
2032,58,12,268,160,150,228,214,163,1382,3
2207,292,35,256,127,2023,105,244,234,1247,3
2371,101,43,300,23,1252,252,201,63,708,3
2343,93,19,255,74,1885,236,221,161,467,3
2473,325,29,420,-413,534,140,171,191,581,3
2248,341,37,216,137,700,24,219,186,1667,3
2902,333,25,361,207,474,158,190,178,618,3
2846,110,12,367,26,735,228,210,153,1176,3
2454,291,16,426,-478,342,234,236,110,1092,3
2447,112,12,385,84,242,171,210,113,484,3
2274,195,35,60,32,1301,102,214,191,907,3
2368,324,12,212,-1410,201,161,196,158,1313,3
2530,333,31,553,-162,766,207,169,238,663,3
2468,16,7,201,-796,694,209,226,188,1873,3
2023,109,21,42,12,2833,229,205,67,674,3
2635,352,16,207,104,1390,190,204,169,1060,3
2300,170,36,240,28,1574,160,153,10,3084,3
2283,196,22,450,-375,541,161,203,199,1772,3
2413,60,10,0,0,631,228,218,122,1630,3
2491,24,37,60,19,1150,238,200,93,741,3
2683,72,5,272,96,2061,226,230,149,618,3
2435,199,30,300,-23,451,103,251,233,3615,3
2439,95,26,13,-159,1489,226,125,42,956,3
2453,157,7,433,183,20,212,210,134,920,3
2429,264,17,318,86,1588,224,236,84,1322,3
2412,162,21,262,-1274,564,202,240,65,566,3
2032,145,6,478,23,1026,241,229,133,1040,3
2457,272,7,450,151,999,202,242,179,1187,3
2392,126,17,189,-535,488,246,227,104,511,3
2535,277,20,230,12,1763,163,183,215,725,3
2426,19,9,545,-1159,2134,214,184,128,3296,3
2443,140,17,577,183,858,243,233,113,1053,3
2500,181,7,128,88,679,223,249,151,720,3
2087,154,11,295,-1,534,239,237,118,691,3
2456,173,23,95,31,3395,243,177,104,787,3
2274,202,10,0,0,1589,237,182,168,646,3
2426,70,6,272,36,882,229,226,135,1825,3
2462,292,23,667,19,272,150,229,216,1742,3
2354,45,24,267,43,808,196,229,144,739,3
2419,200,9,450,-370,1730,143,247,166,1700,3
2367,208,24,232,80,1177,240,233,148,1024,3
2390,42,12,408,189,1389,251,195,126,459,3
2499,43,10,474,16,240,194,174,121,1673,3
2581,255,18,134,81,865,125,215,178,2748,3
2597,308,25,495,-358,231,142,214,159,3122,3
2413,113,10,873,98,607,221,231,135,1092,3
2620,116,8,124,14,470,235,232,129,1506,3
2250,140,0,562,93,655,225,238,148,1158,3
1996,8,14,0,0,466,236,209,45,543,3
2489,358,31,270,-629,150,200,197,167,2560,3
2285,358,8,61,-702,192,207,164,151,1856,3
2519,313,23,533,76,121,194,206,162,2286,3
2495,7,5,144,-681,150,201,242,145,1814,3
2705,69,12,472,4,420,233,216,113,612,3
2323,79,21,60,-1216,1269,243,197,158,1604,3
2194,15,23,162,70,2967,209,220,92,952,3
2908,350,10,512,280,90,169,224,159,2131,3
2340,66,26,510,-282,722,233,236,105,702,3
2369,117,16,190,70,841,246,223,102,1637,3
2422,89,41,162,0,603,247,197,66,499,3
2555,6,24,170,31,1657,203,214,147,983,3
2728,80,20,219,61,1417,249,220,91,751,3
2357,91,9,347,-90,160,180,225,119,768,3
2157,59,24,175,29,914,186,183,65,721,3
2437,133,32,129,-25,824,210,237,87,859,3
2387,48,17,94,-27,703,224,202,106,847,3
2401,162,15,30,64,942,216,212,95,949,3
2156,241,26,636,54,309,159,250,136,64,3
2552,141,18,218,-846,2677,216,198,113,1050,3
2590,115,27,234,-908,1175,117,174,124,3057,3
2431,276,25,212,47,2179,147,236,225,1785,3
2401,149,18,182,-1083,201,146,179,227,569,3
2337,96,45,37,20,90,250,194,56,1724,3
2436,239,27,629,23,1499,169,252,213,509,3
2258,145,10,219,-907,182,201,248,86,961,3
2174,187,19,285,-237,1389,166,222,234,484,3
2432,265,25,120,-900,467,220,205,162,1142,3
2344,260,11,30,-29,124,160,225,113,760,3
2409,195,9,108,46,531,201,188,158,726,3
2369,173,32,90,31,537,220,235,67,1179,3
2295,142,3,30,-513,1464,245,249,197,1298,3
2264,287,4,95,35,1677,171,236,205,731,3
2356,176,19,30,1,366,226,207,144,977,3
2364,0,4,0,0,541,136,232,132,2596,3
2356,359,16,30,-1025,390,195,209,150,942,3
2389,177,24,103,-1465,510,247,221,82,1284,3
2496,300,13,192,-100,30,234,240,161,511,3
2680,80,24,309,73,499,163,236,131,153,3
2474,204,16,430,60,180,177,243,204,700,3
2414,143,14,433,-1272,671,236,230,130,180,3
2436,295,20,108,-1005,506,178,231,208,916,3
2806,23,4,247,-928,940,225,233,143,845,3
2520,144,14,790,154,876,134,206,122,435,3
2468,23,27,134,77,569,184,146,196,1087,3
2452,304,23,90,38,350,115,183,108,1385,3
2492,19,9,488,169,987,214,220,143,1262,3
2865,171,20,30,-284,1158,229,232,146,949,3
2356,135,10,30,-29,1092,131,196,69,711,3
2326,135,17,458,69,1188,243,231,118,469,3
2632,340,12,382,-661,579,235,221,154,977,3
2644,0,8,483,91,511,208,228,249,1106,3
2648,344,6,488,89,702,108,230,148,3279,3
2650,127,15,82,102,616,228,237,135,1364,3
2623,165,33,120,0,1381,231,234,29,924,3
2763,160,23,443,32,2020,225,245,153,1751,3
2483,86,10,90,-28,1070,235,223,144,3250,3
2590,172,30,140,-1067,3185,233,232,107,509,3
2605,127,20,190,243,2724,246,226,102,1006,3
2657,148,28,162,-883,1836,231,172,121,3157,3
2466,157,19,210,36,1101,238,239,122,1148,3
2674,194,12,416,-159,1006,189,253,189,1250,3
2607,228,21,258,77,716,185,172,200,2653,3
2584,179,13,175,46,2398,225,248,152,267,3
2607,147,33,664,93,787,205,250,180,3744,3
2429,171,25,311,-665,1848,131,242,119,1328,3
2686,167,33,0,0,1800,231,230,122,1304,3
2602,223,23,234,90,2915,184,253,198,1575,3
2560,153,13,30,11,40,196,229,191,1269,3
2538,0,14,42,-190,1300,199,165,235,3485,3
2553,124,14,319,57,895,242,229,119,514,3
2877,172,11,319,97,708,228,238,120,2066,3
2549,23,23,120,29,1260,158,185,112,1570,3
2259,93,16,30,4,1173,149,205,125,1641,3
2538,206,20,108,34,1064,162,253,180,3388,3
2242,107,21,150,40,2538,188,182,123,205,3
2591,144,25,132,82,757,232,240,135,521,3
2594,14,19,227,-648,1397,197,196,106,3544,3
2280,199,19,30,3,1177,206,224,176,1538,3
2654,193,18,60,22,1136,214,194,165,1397,3
2478,130,14,242,-412,977,176,231,115,1101,3
2515,62,13,295,86,1458,201,215,150,1699,3
2456,103,6,30,-1442,2160,165,234,165,99,3
2506,188,30,85,20,2816,220,213,159,1159,3
2667,112,7,42,-28,1950,232,233,149,1617,3
2802,64,5,375,9,2105,153,238,143,3640,3
2363,95,13,377,-609,1571,242,179,145,4112,3
2602,59,1,569,92,2969,251,201,116,1578,3
2761,177,12,30,-27,1047,213,177,155,2166,3
2740,122,23,510,-1044,1650,236,229,123,1809,3
2596,294,8,242,51,1599,214,168,152,3460,3
2602,166,16,240,-1004,1566,220,243,63,3930,3
2536,322,7,108,2,2625,202,234,94,1082,3
2840,160,11,456,-482,1897,231,242,141,2699,3
2627,198,4,253,-133,2047,175,241,183,2121,3
2153,119,18,47,134,300,248,251,109,895,3
2466,125,9,42,-834,1756,236,234,128,1809,3
2589,202,5,503,120,679,210,191,163,698,3
2530,161,14,621,75,1158,242,253,113,492,3
2144,318,7,30,4,946,218,234,172,268,4
2003,266,11,306,25,380,211,209,157,1441,4
2026,114,8,302,0,150,204,223,135,300,4
2006,119,11,0,0,170,233,194,71,319,4
2006,79,16,0,0,192,240,209,95,1571,4
2010,148,23,0,0,863,238,188,69,361,4
2006,5,16,0,-867,255,222,215,120,366,4
2005,29,6,195,0,297,138,226,144,2363,4
2013,191,40,231,0,983,132,186,78,402,4
2043,51,2,0,-200,361,219,225,198,1266,4
2023,159,29,30,15,1268,245,169,44,457,4
2011,58,9,0,0,382,207,177,129,446,4
2021,309,12,373,2,2751,185,214,167,437,4
2100,29,13,162,-23,582,121,173,104,485,4
2025,155,31,42,9,1050,172,195,98,503,4
2022,19,14,30,-423,446,209,210,136,604,4
2238,26,14,418,0,118,217,210,75,658,4
2014,59,31,0,0,488,223,231,143,2706,4
2034,55,21,30,-924,745,228,188,83,524,4
2359,51,14,30,-29,1951,121,220,128,537,4
2022,229,4,396,0,488,213,248,168,551,4
2034,111,21,67,18,134,213,189,104,532,4
2029,18,18,42,237,467,163,199,128,524,4
2020,358,32,149,0,1522,159,206,143,511,4
2109,22,2,30,79,484,212,203,137,577,4
2040,221,24,179,-1344,1653,107,164,144,547,4
1948,39,16,276,-237,481,219,194,116,2592,4
2032,31,3,30,5,451,217,170,190,618,4
2041,61,16,30,5,480,232,204,9,631,4
2036,50,5,0,11,450,210,220,226,644,4
2056,169,15,30,8,480,242,177,98,2607,4
2067,146,7,0,-1163,1708,222,215,116,674,4
2276,242,25,30,2,510,133,203,65,685,4
2039,88,25,127,-114,511,199,189,0,671,4
2029,93,4,0,-244,481,227,182,121,644,4
2353,155,28,242,12,514,185,175,0,658,4
2046,84,25,31,16,518,245,177,42,646,4
2032,81,10,0,0,2480,234,189,118,618,4
2045,63,19,30,10,1883,252,206,68,618,4
2037,126,12,242,0,552,246,226,101,612,4
2038,161,19,364,1,591,246,229,104,636,4
2052,122,13,42,16,658,254,175,56,693,4
2040,288,7,30,-403,716,201,240,160,1237,4
2050,287,21,323,12,691,159,193,217,663,4
2067,119,27,30,12,2804,217,243,214,335,4
2051,151,31,155,-1146,782,246,214,23,618,4
2041,61,6,0,0,1138,182,222,146,648,4
2210,176,7,0,-1592,624,129,239,154,323,4
2055,189,9,0,-897,918,221,247,160,351,4
2143,199,43,0,0,1580,102,225,170,226,4
2046,63,26,0,0,799,237,206,118,612,4
2183,3,5,30,0,774,213,189,149,641,4
2046,313,10,42,5,750,154,233,179,1828,4
2059,202,22,400,0,841,177,213,87,228,4
2055,56,2,0,0,2818,246,231,151,256,4
2058,338,15,136,0,890,152,168,170,2073,4
2068,334,16,30,7,101,195,199,149,3282,4
2138,55,11,30,1,1664,212,227,126,171,4
2053,135,2,0,0,984,221,247,239,1196,4
2184,198,15,0,25,967,214,251,168,430,4
2051,170,10,30,5,1113,246,227,102,577,4
2044,139,16,0,0,34,181,237,144,908,4
2168,284,4,30,2,792,209,239,169,636,4
2359,297,9,60,196,2104,193,236,184,448,4
2056,56,7,0,181,858,225,226,63,218,4
2062,322,21,30,-1101,1322,128,176,188,247,4
2386,1,19,431,-375,1362,224,215,123,424,4
2049,94,16,0,101,957,223,244,155,454,4
2055,164,19,30,-1236,907,234,191,131,513,4
2044,197,4,0,-187,1095,214,229,163,605,4
2218,306,14,42,0,835,180,231,190,663,4
2067,103,23,60,-950,853,174,181,76,182,4
2115,239,7,0,-1173,876,179,230,175,2317,4
2054,89,8,30,5,973,217,192,101,1799,4
1986,50,8,0,0,949,205,177,134,481,4
2126,158,4,30,-1160,900,112,233,103,541,4
2045,202,8,47,-143,876,219,207,110,571,4
1882,255,27,0,0,853,196,225,178,2704,4
2052,188,15,457,267,830,178,230,191,631,4
2165,311,12,30,-773,807,137,225,213,661,4
2060,157,12,30,-24,895,132,197,171,2420,4
2057,35,8,30,10,966,157,178,93,1030,4
2020,29,10,20,0,1345,212,229,123,510,4
2047,25,11,0,-1357,918,215,216,137,540,4
2045,267,10,0,0,354,187,222,158,570,4
2057,315,17,114,123,850,169,222,191,630,4
2437,88,19,147,0,892,244,174,84,182,4
2058,215,10,0,0,914,195,247,146,212,4
1902,224,31,42,-779,891,253,155,39,162,4
1895,35,18,30,1,912,149,223,94,190,4
2174,257,4,311,0,2262,201,245,183,218,4
2071,116,29,30,-246,912,253,206,63,175,4
2342,300,10,0,0,955,202,188,160,216,4
2066,319,23,137,-961,976,158,183,153,1352,4
2418,334,13,45,-289,152,189,217,182,212,4
2076,131,23,30,12,1060,252,211,74,1279,4
2132,136,5,72,0,937,146,164,65,201,4
2167,256,8,0,0,1280,182,244,183,256,4
2084,231,21,30,14,1003,164,246,217,1470,4
1989,302,18,0,142,414,98,225,201,537,4
2039,211,14,370,0,990,230,178,104,277,4
2260,147,17,0,0,1008,219,216,158,285,4
2075,229,20,0,0,1026,187,242,199,295,4
1991,337,28,0,0,2662,183,162,171,510,4
2072,61,14,30,3,1032,223,228,210,313,4
2392,201,4,30,0,1050,218,243,67,323,4
2074,352,21,0,-1492,1068,194,201,189,1592,4
2072,348,21,0,0,1110,180,253,171,376,4
2068,164,29,67,39,247,235,167,138,418,4
2155,61,27,30,26,240,230,203,127,1127,4
2016,3,21,0,0,165,252,192,84,458,4
2083,313,17,0,0,2087,170,223,193,684,4
2081,146,16,30,-26,1116,103,239,125,390,4
2107,278,13,0,-656,1134,187,242,193,2451,4
2017,125,30,134,69,309,223,161,75,521,4
2040,106,13,30,11,272,254,245,48,402,4
2570,182,33,150,89,350,227,129,29,331,4
2119,83,34,124,256,335,194,161,54,335,4
2079,102,34,67,35,2441,252,221,14,351,4
2054,98,52,42,10,325,251,172,88,362,4
2077,142,16,159,0,1182,118,222,75,1665,4
2168,75,33,162,-516,391,241,201,54,300,4
2145,90,38,448,94,1071,246,136,0,301,4
2117,148,32,108,-433,362,249,157,0,306,4
2094,100,23,85,43,351,251,163,44,313,4
2055,27,26,30,11,335,248,190,53,335,4
2044,64,14,0,-210,306,179,209,132,2033,4
1975,76,2,0,-320,2288,194,218,150,1900,4
2402,94,40,124,86,402,246,150,0,272,4
2124,2,30,95,-769,390,174,154,0,2493,4
2067,96,35,322,16,371,250,184,2,295,4
2088,59,2,0,-855,350,220,234,152,540,4
2067,114,24,367,0,1215,251,215,149,1136,4
2056,278,2,0,-1035,1231,215,238,162,513,4
2212,58,27,240,161,1397,228,173,63,256,4
2197,90,40,180,133,1124,239,179,37,332,4
2139,84,37,120,88,430,242,151,45,242,4
2096,86,43,60,45,408,240,137,0,256,4
2081,163,13,341,0,1240,208,237,140,2123,4
2084,336,8,30,0,761,166,242,181,541,4
1944,95,28,210,147,499,250,224,61,218,4
1972,100,28,342,132,484,252,212,37,212,4
2161,236,35,197,188,470,252,170,16,210,4
2489,97,19,120,-881,2071,251,169,17,212,4
2095,89,41,60,44,437,243,143,72,228,4
2068,81,35,30,17,430,242,157,37,242,4
2092,110,19,0,0,450,248,214,86,488,4
2723,38,28,400,-265,1561,207,150,78,324,4
2309,60,21,100,-704,636,221,105,43,300,4
2291,68,32,123,213,616,234,191,33,1466,4
2274,75,30,323,202,859,239,168,37,724,4
2134,85,27,295,184,1517,246,206,48,234,4
2235,93,33,558,163,558,250,171,22,216,4
2196,133,33,212,-388,525,253,165,23,2089,4
2094,97,23,67,43,749,184,163,10,201,4
2074,28,31,171,21,459,242,109,49,1266,4
2193,62,19,30,7,454,127,212,117,2861,4
2140,311,10,324,-411,451,178,232,179,255,4
2203,241,11,30,-29,1871,239,229,59,582,4
2305,198,1,0,0,1925,155,228,187,2431,4
2722,244,10,192,67,858,200,244,186,532,4
2363,247,12,216,73,834,195,248,191,503,4
2350,40,33,54,60,721,203,168,60,362,4
1976,61,32,426,51,700,231,181,68,335,4
2328,93,26,389,241,679,250,190,51,3644,4
2292,105,12,335,214,638,190,182,30,258,4
2459,141,34,283,182,1107,251,162,40,3429,4
2170,110,34,175,102,2409,152,174,48,153,4
2428,112,26,415,81,1133,253,164,101,150,4
2370,111,22,127,62,513,230,180,22,153,4
2519,107,20,114,-1088,503,254,159,30,311,4
2020,99,28,85,-1028,495,252,185,40,175,4
1927,90,27,67,25,566,119,197,50,192,4
2093,201,11,30,-1257,2504,244,230,178,1067,4
2071,249,21,549,0,480,140,225,154,258,4
2243,200,23,30,31,594,205,253,172,2187,4
2043,179,25,30,-1180,275,221,245,141,3670,4
2100,154,21,230,0,553,239,237,117,457,4
2079,120,16,30,-22,2629,245,224,103,2759,4
2073,72,5,0,-1199,2097,222,229,147,612,4
1913,185,9,349,60,876,247,249,175,524,4
2424,113,15,276,68,700,213,252,194,495,4
2396,259,27,575,76,830,176,203,209,466,4
2380,62,14,335,90,764,213,173,139,379,4
2451,86,32,362,74,658,243,194,25,351,4
2355,108,35,347,165,661,252,252,34,242,4
2252,113,31,268,174,843,226,192,41,1388,4
2462,97,38,305,138,592,249,159,1,437,4
2195,98,37,448,-97,1905,249,158,0,134,4
2344,102,36,350,89,1440,252,163,0,124,4
2002,71,36,134,-918,552,252,173,0,120,4
2244,109,30,85,35,2371,254,191,52,134,4
2165,149,24,42,10,518,252,203,59,170,4
2155,14,28,196,0,1505,252,225,49,192,4
1942,191,29,0,0,812,174,228,154,216,4
2531,75,7,204,-172,726,229,226,147,552,4
2076,322,15,0,0,1328,193,220,176,2072,4
2352,0,9,293,-985,942,222,231,156,577,4
2348,77,13,234,54,2058,220,248,138,518,4
2363,254,24,277,20,321,247,247,188,459,4
2381,250,24,300,91,828,161,217,141,430,4
2397,218,19,459,107,2372,215,239,125,400,4
2252,133,39,75,86,2752,245,210,25,371,4
2243,157,43,699,228,743,246,169,0,313,4
2304,126,40,349,213,722,249,179,16,285,4
2285,128,31,335,-545,703,249,186,50,256,4
1945,154,40,313,179,684,159,227,12,2044,4
2252,136,20,285,174,666,249,207,7,201,4
2305,133,34,256,-853,649,251,206,82,175,4
2226,120,21,483,147,633,189,193,97,2506,4
2173,98,38,175,111,2413,249,158,49,146,4
2161,98,43,150,89,2745,137,131,3,95,4
1966,157,33,286,49,2456,253,223,26,95,4
2099,104,15,148,31,1601,253,189,47,209,4
1999,106,26,42,-1264,553,253,241,54,127,4
2135,338,25,0,0,543,253,228,164,175,4
2073,312,24,0,0,541,126,215,155,201,4
2121,0,9,0,0,430,192,222,105,611,4
2078,214,9,0,0,1342,181,229,226,666,4
2360,257,11,319,-83,1107,193,246,192,752,4
2365,92,21,212,-340,1008,142,182,148,633,4
2617,73,12,218,64,2401,234,233,130,2617,4
2348,136,3,267,54,2571,240,217,88,1405,4
2342,161,8,258,48,2612,168,247,154,417,4
2292,195,21,319,82,849,196,253,187,1599,4
2348,136,46,366,250,806,238,191,9,365,4
2325,137,46,361,225,784,195,175,12,335,4
2165,59,37,309,-893,726,251,191,65,247,4
2303,128,43,295,-518,794,252,173,39,2698,4
2237,134,47,277,-740,691,212,206,58,190,4
2247,119,26,190,121,644,254,191,35,108,4
1988,103,29,134,81,618,251,184,90,67,4
2416,132,30,85,-592,598,253,157,24,67,4
2513,105,33,401,27,589,194,187,37,85,4
2080,106,24,30,-877,582,252,202,58,108,4
2068,147,10,0,0,676,227,203,142,1305,4
2073,312,18,0,0,573,162,224,183,2364,4
2130,132,22,0,0,957,106,229,169,3468,4
2126,164,4,0,0,2286,206,228,149,601,4
2497,80,18,0,-1533,983,105,217,133,603,4
2076,275,3,34,-1068,1104,183,212,162,693,4
2343,233,12,282,-148,2735,125,251,216,478,4
2676,227,15,54,55,1148,196,253,191,781,4
2062,262,29,256,59,1123,190,252,197,2081,4
2718,266,20,247,145,1099,164,204,210,721,4
2378,181,6,291,84,1665,180,239,209,1154,4
2384,81,11,240,90,1979,235,221,165,3427,4
2440,102,26,242,74,1236,194,213,55,814,4
2354,126,21,247,-75,1068,120,219,85,601,4
2347,87,25,536,53,979,244,232,108,201,4
2341,234,20,300,47,912,174,200,209,481,4
2366,179,26,342,72,1904,224,247,149,2470,4
2354,129,35,361,-54,849,251,195,40,617,4
2330,123,36,361,230,828,183,173,104,361,4
2309,125,40,339,208,1358,137,178,77,331,4
2287,238,39,141,187,787,249,184,30,301,4
2241,128,36,641,150,2335,252,197,42,212,4
2206,134,31,242,-97,1025,250,194,143,153,4
2188,128,31,464,110,671,252,203,52,95,4
2172,155,31,153,-833,658,253,179,119,1576,4
2515,108,18,124,-769,646,184,216,115,1491,4
2090,186,31,42,-1030,618,254,187,104,837,4
2073,63,11,296,-559,612,227,215,90,1362,4
2070,317,9,0,0,607,196,211,92,124,4
2075,292,16,0,0,1383,99,239,245,722,4
2336,235,6,536,42,2529,210,245,173,2246,4
2336,72,25,91,-1056,3069,217,246,173,840,4
2610,204,21,309,-536,2357,212,251,196,810,4
2676,354,26,285,56,1140,111,249,213,2172,4
2377,288,16,272,-423,1092,183,190,246,2187,4
2300,96,25,285,-1222,999,129,230,100,570,4
2052,157,43,295,11,977,238,247,114,540,4
2325,189,19,717,31,954,179,251,159,510,4
2346,224,28,342,52,912,170,252,205,450,4
2353,172,21,781,59,891,229,244,137,465,4
2341,121,33,361,237,899,253,153,73,2496,4
2144,112,38,339,-376,567,253,173,11,787,4
2298,211,36,319,198,830,253,173,12,1953,4
2532,129,34,258,143,1396,252,237,46,240,4
2342,130,33,242,-106,757,252,164,47,210,4
2214,165,31,228,123,1418,251,183,57,1259,4
2201,81,30,574,114,726,201,208,61,150,4
2552,147,28,413,-1557,711,211,210,66,1009,4
2161,117,24,150,267,685,254,169,39,1838,4
2147,108,32,60,31,655,235,166,31,30,4
2072,68,8,283,0,641,228,189,130,2459,4
2142,101,6,0,-837,934,230,232,88,684,4
2125,323,19,431,-27,507,254,224,111,677,4
2331,135,1,424,37,1333,221,191,214,960,4
2292,191,17,799,-455,1282,219,229,121,900,4
2485,185,15,421,-659,381,221,245,211,841,4
2202,289,14,699,-102,3159,215,215,74,811,4
2334,112,19,323,40,1182,185,253,200,781,4
2346,247,25,139,-724,1158,154,246,130,751,4
2362,290,29,267,-749,904,149,243,227,721,4
2368,125,29,300,74,2411,157,205,58,1607,4
2331,194,30,220,37,999,251,210,154,601,4
2322,149,29,267,28,1125,243,227,95,571,4
2315,237,24,323,21,997,234,189,92,541,4
2315,196,21,333,-1133,976,189,243,135,511,4
2333,229,30,289,39,933,171,252,207,451,4
2232,120,32,234,-814,799,215,170,40,242,4
2216,124,31,216,-235,558,253,200,25,212,4
2202,44,37,201,102,767,252,185,59,182,4
2157,101,28,385,61,702,253,169,30,2153,4
2153,219,14,13,0,1009,145,236,178,741,4
2151,135,2,0,0,937,222,208,190,2980,4
2109,107,25,214,4,3373,186,236,114,789,4
2376,194,23,30,-16,1385,204,251,165,785,4
2321,139,22,461,27,1547,240,235,103,2379,4
2319,182,19,360,-423,3239,222,209,151,872,4
2328,242,21,761,34,1200,175,251,210,782,4
2342,257,28,547,48,1437,145,243,230,2952,4
2360,251,25,318,66,1839,188,235,188,722,4
2356,164,33,461,-572,1106,216,193,47,663,4
2309,203,26,342,-471,2659,245,253,173,573,4
2304,71,19,350,-93,1694,111,254,183,2818,4
2325,243,23,286,212,955,91,250,216,454,4
2281,94,11,342,19,1254,235,250,98,1016,4
2513,103,37,294,-9,895,251,207,6,365,4
2361,105,42,627,185,876,250,156,0,335,4
2264,109,39,255,-713,858,252,167,0,306,4
2224,65,32,212,262,824,101,190,41,247,4
2179,241,26,162,79,778,253,209,65,162,4
2018,157,36,153,-1090,2683,229,221,73,1336,4
2146,139,25,409,59,741,252,214,74,85,4
2137,113,14,95,241,731,254,171,47,67,4
2095,98,35,42,17,1160,251,177,18,823,4
2333,97,16,30,2,706,244,215,121,85,4
2481,279,9,62,0,700,241,230,249,1220,4
2233,133,21,0,0,900,200,190,37,2833,4
2365,50,30,30,-28,2181,221,238,73,1693,4
2162,73,27,0,232,810,239,177,51,845,4
2149,159,19,0,0,780,183,198,84,881,4
2117,155,10,0,0,240,233,239,120,285,4
1990,210,13,0,0,180,237,233,157,3681,4
2145,144,9,0,-1000,9,232,239,137,780,4
2107,201,24,0,-229,1418,141,250,216,812,4
2100,76,27,30,-411,3111,241,218,50,38,4
2317,15,17,466,23,1340,247,219,96,934,4
1877,7,17,433,16,1315,240,236,122,904,4
2310,202,35,402,-1339,1266,210,253,96,2250,4
2314,237,17,317,20,1242,187,162,200,815,4
2325,266,24,361,31,1218,151,242,157,785,4
2355,253,17,117,257,2392,176,210,206,726,4
2481,143,18,201,66,3109,248,233,28,696,4
2323,120,35,485,29,1104,253,246,30,636,4
2308,129,33,304,14,1082,231,207,64,846,4
2641,177,17,379,-28,1040,190,246,147,547,4
2322,246,21,52,209,2480,181,253,153,459,4
2331,184,15,455,218,957,198,235,157,430,4
2333,199,38,277,193,710,143,165,3,371,4
2003,43,43,255,167,900,230,199,0,342,4
2253,117,41,234,-724,2750,178,114,87,313,4
2260,122,31,286,116,849,253,193,37,256,4
2199,121,31,170,99,2060,253,199,48,228,4
2185,147,31,47,85,2161,254,205,59,201,4
2159,67,25,124,-447,792,252,213,72,1222,4
2124,128,24,85,37,759,253,206,143,95,4
2206,113,23,60,32,750,254,172,28,90,4
2078,84,32,0,-344,2165,205,178,109,108,4
2217,111,18,320,-289,930,236,200,59,967,4
2338,83,24,0,0,1400,233,137,79,789,4
2008,21,3,0,0,270,183,219,235,1067,4
1878,8,15,403,2,240,202,209,143,987,4
2006,35,23,69,-92,1791,210,136,97,3754,4
2149,68,12,0,0,916,229,223,126,819,4
2151,349,16,30,-162,3011,144,220,160,808,4
2104,134,15,0,0,165,243,231,123,859,4
