c1,c2,c3,c4,c5,
130,19,247,226,100,4
321,17,175,222,186,4
23,22,202,188,115,4
328,13,187,224,176,4
338,8,204,229,165,4
68,8,228,225,130,4
96,19,247,209,84,4
102,23,251,202,66,4
157,10,231,242,142,4
240,18,183,252,203,4
231,26,171,253,209,4
127,34,252,195,40,4
125,29,253,206,59,4
143,22,245,229,101,4
197,18,212,252,168,4
229,24,175,253,207,4
234,29,159,250,216,4
208,23,197,254,182,4
150,27,243,227,94,4
131,38,249,190,31,4
125,35,252,190,32,4
127,33,253,198,44,4
136,30,250,211,66,4
137,32,249,209,61,4
136,14,241,234,119,4
79,10,233,223,121,4
95,18,245,211,89,4
68,13,233,214,111,4
56,22,228,186,80,4
76,21,240,196,76,4
93,12,239,222,111,4
52,22,225,187,85,4
300,15,176,232,196,4
11,17,201,204,138,4
92,24,248,196,63,4
102,25,252,199,59,4
107,22,251,209,75,4
141,10,236,237,131,4
228,18,190,254,196,4
215,26,184,253,192,4
172,24,228,243,133,4
128,32,252,201,50,4
124,29,253,206,59,4
142,23,246,228,98,4
194,20,213,252,164,4
220,27,178,253,199,4
194,28,202,249,163,4
153,32,239,222,87,4
130,39,249,188,28,4
123,41,250,174,0,4
121,39,251,178,15,4
120,37,253,183,22,4
125,33,253,197,43,4
136,33,249,206,57,4
137,33,249,207,58,4
138,28,249,217,76,4
127,19,248,224,95,4
90,7,231,229,130,4
355,10,203,222,157,4
4,17,195,205,145,4
9,17,198,203,139,4
343,13,193,219,165,4
57,18,229,200,97,4
87,24,247,194,63,4
352,10,203,223,158,4
163,16,233,243,135,4
154,9,231,241,141,4
50,14,226,209,114,4
97,15,244,216,98,4
77,18,240,205,89,4
86,27,247,183,47,4
95,21,248,204,74,4
241,23,169,251,214,4
234,24,173,253,209,4
133,30,251,210,63,4
122,28,254,205,58,4
137,24,249,222,87,4
183,22,220,248,150,4
210,29,183,251,188,4
207,33,180,248,182,4
161,37,229,220,88,4
126,38,250,185,23,4
116,32,254,191,38,4
123,32,254,198,45,4
129,31,252,204,54,4
352,23,172,193,154,4
6,19,194,201,141,4
102,12,239,225,114,4
343,13,192,219,165,4
351,11,199,221,159,4
164,18,234,242,132,4
8,2,217,235,155,4
60,9,228,221,126,4
47,8,223,223,135,4
354,7,209,228,157,4
77,16,238,210,98,4
52,13,227,212,117,4
181,10,224,247,155,4
126,21,250,220,87,4
101,27,252,194,52,4
100,22,250,205,72,4
109,13,242,225,110,4
238,20,180,253,206,4
226,22,184,254,200,4
160,28,235,233,108,4
144,29,246,220,80,4
135,27,250,216,75,4
126,29,253,206,59,4
171,22,229,243,134,4
202,28,195,251,175,4
163,37,226,221,92,4
149,37,238,209,64,4
137,35,248,202,50,4
116,30,254,195,44,4
107,30,254,189,39,4
105,32,254,182,29,4
110,32,254,187,35,4
117,28,254,200,53,4
338,16,183,215,170,4
104,16,246,217,95,4
19,11,212,217,141,4
337,10,197,225,167,4
141,26,247,222,86,4
155,7,228,241,146,4
327,14,184,223,178,4
340,12,195,223,166,4
118,23,252,213,76,4
152,31,240,223,88,4
146,30,245,220,81,4
190,26,209,249,157,4
140,32,247,212,67,4
133,30,251,210,63,4
121,29,254,202,54,4
108,32,254,185,32,4
105,32,254,182,29,4
95,13,240,221,110,4
5,22,186,192,138,4
125,19,248,223,94,4
171,6,225,243,153,4
316,15,179,226,187,4
145,19,242,234,113,4
336,19,175,211,173,4
341,27,152,188,168,4
132,24,250,219,82,4
127,23,251,217,81,4
122,13,242,229,114,4
161,9,230,242,144,4
186,23,216,249,154,4
174,26,225,242,133,4
152,27,241,229,98,4
129,23,250,220,86,4
173,22,228,244,137,4
185,27,214,247,149,4
175,28,223,241,131,4
148,30,243,221,83,4
147,32,243,217,76,4
141,31,247,214,70,4
126,33,253,199,46,4
113,22,251,211,77,4
16,22,195,187,122,4
130,17,246,228,105,4
189,6,220,244,159,4
302,9,196,236,180,4
162,23,235,238,120,4
334,21,166,206,176,4
331,30,137,189,183,4
113,18,248,219,94,4
101,16,245,217,97,4
97,13,241,221,108,4
158,15,235,241,132,4
158,27,237,232,107,4
141,34,246,209,61,4
145,34,244,212,68,4
151,33,240,218,79,4
140,33,247,210,63,4
130,27,252,213,69,4
333,20,170,210,177,4
350,7,208,228,159,4
172,11,228,245,148,4
190,13,219,250,161,4
203,17,210,253,173,4
163,7,227,242,148,4
236,3,213,242,166,4
321,28,136,200,197,4
82,19,242,204,84,4
138,19,246,229,103,4
131,26,251,216,76,4
127,30,253,206,58,4
133,31,251,208,61,4
147,27,244,225,91,4
338,7,205,230,164,4
23,12,213,215,137,4
106,7,232,232,132,4
146,21,244,232,106,4
157,17,236,240,128,4
203,24,200,253,176,4
208,32,181,249,184,4
142,5,228,239,144,4
333,4,210,234,163,4
236,17,187,253,199,4
128,20,248,224,95,4
111,6,230,234,137,4
326,5,206,234,166,4
303,19,163,227,202,4
44,19,221,195,102,4
64,20,234,195,85,4
105,27,253,195,51,4
110,28,254,196,50,4
121,22,251,216,80,4
127,12,240,232,121,4
62,6,225,228,138,4
353,13,196,216,157,4
320,18,170,219,188,4
315,12,187,230,183,4
114,6,230,234,138,4
121,18,248,223,96,4
133,12,239,234,124,4
135,5,228,238,144,4
124,3,225,237,146,4
182,8,223,246,156,4
203,20,206,253,175,4
342,9,202,227,164,4
353,15,193,213,157,4
13,12,208,215,142,4
38,5,220,228,144,4
233,9,205,249,181,4
238,3,214,242,166,4
299,9,196,237,181,4
317,11,191,231,179,4
296,21,157,229,210,4
58,17,230,203,100,4
113,23,252,208,70,4
98,22,249,204,72,4
107,22,251,208,73,4
109,28,254,195,48,4
109,17,247,219,96,4
53,12,227,213,118,4
306,9,196,235,179,4
322,17,174,221,186,4
336,11,194,225,169,4
190,19,217,251,160,4
199,24,203,252,171,4
197,31,194,247,167,4
103,13,242,222,108,4
354,9,206,225,158,4
240,9,203,248,182,4
347,17,186,211,162,4
341,25,161,195,168,4
42,17,220,200,110,4
45,5,221,229,143,4
159,6,226,241,149,4
172,9,226,245,151,4
129,19,247,226,99,4
135,16,244,231,111,4
283,9,194,241,186,4
299,12,187,236,189,4
283,18,167,238,209,4
52,10,226,218,125,4
80,9,233,223,122,4
91,12,238,221,111,4
120,27,254,205,60,4
120,26,253,207,64,4
125,30,253,203,54,4
122,31,254,199,48,4
117,24,253,209,69,4
341,24,164,198,169,4
317,12,187,229,182,4
284,10,191,240,189,4
329,8,200,230,169,4
151,9,231,240,140,4
159,16,235,241,131,4
190,18,218,251,161,4
8,7,212,227,152,4
187,20,218,250,157,4
107,18,247,216,90,4
22,7,216,225,146,4
352,26,166,187,152,4
328,9,199,230,171,4
27,9,217,221,140,4
72,10,232,220,119,4
88,17,243,211,92,4
307,17,173,228,195,4
317,13,186,229,182,4
307,7,201,236,175,4
271,15,179,244,204,4
67,12,232,215,113,4
114,14,243,225,108,4
135,14,241,233,118,4
136,19,246,229,104,4
138,20,246,229,102,4
133,24,250,221,85,4
126,25,252,213,73,4
118,27,254,204,59,4
128,26,252,214,73,4
128,28,252,209,64,4
124,29,253,204,56,4
346,23,168,195,161,4
345,20,177,205,164,4
337,14,189,221,170,4
4,7,211,227,153,4
9,5,215,230,153,4
321,17,175,222,186,4
126,13,242,231,115,4
205,4,217,243,162,4
188,24,215,249,155,4
335,7,205,231,165,4
348,28,157,183,157,4
45,14,223,210,118,4
207,4,217,244,163,4
219,21,192,254,192,4
207,28,189,252,183,4
328,22,160,208,184,4
24,21,203,189,115,4
46,23,220,184,88,4
335,19,174,211,175,4
341,13,192,220,166,4
4,7,211,227,153,4
275,12,188,243,194,4
261,6,205,243,177,4
225,3,215,242,165,4
119,21,250,217,84,4
142,21,245,229,101,4
140,23,247,226,95,4
140,24,247,225,92,4
138,26,249,221,84,4
134,26,250,217,78,4
114,25,253,206,65,4
104,23,251,203,66,4
108,26,253,200,58,4
114,27,254,200,55,4
106,16,246,219,97,4
313,12,189,231,182,4
312,13,185,230,185,4
310,13,185,231,186,4
310,11,189,232,183,4
129,16,244,229,108,4
4,3,215,233,155,4
61,12,230,214,115,4
148,12,236,239,131,4
139,22,247,227,97,4
172,28,224,239,127,4
310,4,209,237,166,4
309,19,164,224,198,4
314,30,127,201,206,4
18,28,187,170,107,4
217,2,217,241,161,4
177,18,226,247,147,4
326,20,165,213,185,4
13,11,209,217,144,4
150,8,231,240,141,4
198,17,212,252,169,4
188,15,220,250,159,4
129,21,249,222,90,4
133,21,248,225,95,4
142,23,246,227,96,4
141,25,247,225,91,4
137,26,249,221,83,4
136,26,249,219,81,4
134,25,250,220,83,4
128,23,250,219,83,4
113,25,253,205,64,4
82,7,230,228,132,4
322,11,191,229,177,4
326,18,174,218,183,4
108,13,241,225,111,4
65,5,225,230,140,4
102,17,246,215,91,4
123,21,250,219,87,4
11,4,216,232,153,4
133,20,248,226,96,4
164,8,228,243,147,4
219,6,213,246,170,4
191,22,213,251,161,4
186,23,217,249,153,4
145,6,228,239,144,4
139,5,227,238,145,4
193,12,219,249,163,4
74,8,230,224,127,4
289,9,196,239,183,4
255,5,209,243,172,4
252,20,170,249,214,4
87,20,244,204,80,4
122,16,245,226,105,4
167,18,232,244,135,4
191,23,212,250,160,4
193,23,211,251,164,4
131,22,249,222,88,4
132,21,248,224,94,4
133,23,249,222,88,4
134,24,249,220,84,4
134,26,250,218,80,4
138,25,248,222,86,4
139,24,248,225,91,4
117,31,254,194,42,4
116,22,251,213,77,4
68,8,228,225,130,4
87,10,235,224,119,4
327,13,189,225,176,4
170,5,224,242,153,4
191,7,220,246,161,4
18,6,216,227,149,4
110,10,237,230,123,4
340,15,186,216,168,4
357,5,213,231,157,4
323,9,196,230,174,4
340,12,195,223,166,4
0,14,199,214,151,4
354,17,189,207,155,4
356,21,183,198,150,4
245,10,200,248,186,4
40,16,220,204,114,4
322,8,200,232,172,4
261,18,172,247,211,4
54,20,227,192,89,4
252,14,188,249,198,4
249,27,152,247,225,4
99,21,249,206,75,4
103,24,252,200,62,4
113,22,252,211,75,4
141,19,244,232,109,4
183,21,220,249,151,4
143,18,243,234,113,4
118,21,251,215,82,4
119,19,249,220,92,4
118,22,251,214,78,4
128,23,251,218,81,4
139,24,248,224,90,4
138,27,249,219,80,4
141,28,247,220,82,4
146,27,245,225,90,4
147,28,244,224,88,4
143,29,246,219,80,4
129,31,252,205,56,4
109,14,243,224,108,4
126,4,227,237,145,4
175,5,223,243,154,4
129,23,251,218,82,4
24,3,218,233,152,4
48,7,223,224,136,4
338,11,195,224,168,4
223,10,208,250,178,4
192,19,215,251,163,4
117,17,247,222,97,4
109,22,251,209,75,4
102,24,252,200,62,4
114,19,249,218,89,4
157,16,236,241,130,4
190,21,215,251,160,4
199,22,207,253,171,4
116,17,247,222,97,4
109,17,247,218,94,4
115,24,252,209,70,4
145,31,245,217,75,4
150,31,241,221,83,4
152,31,240,223,88,4
149,28,243,225,91,4
135,22,248,224,92,4
100,14,243,219,102,4
21,10,214,219,141,4
302,8,199,237,177,4
248,9,202,247,183,4
51,3,221,232,148,4
344,8,203,227,163,4
316,15,178,225,187,4
45,11,223,217,127,4
68,4,224,231,142,4
204,5,217,244,163,4
132,19,247,226,100,4
100,23,250,203,69,4
18,24,194,183,117,4
22,13,211,211,134,4
296,8,197,238,180,4
272,24,150,239,225,4
13,8,213,225,149,4
265,13,187,246,197,4
82,5,227,231,138,4
114,8,235,232,129,4
97,15,243,217,99,4
93,20,247,206,79,4
93,23,249,198,65,4
102,23,251,204,69,4
128,19,247,225,98,4
178,18,225,248,149,4
210,21,199,254,183,4
189,16,219,250,160,4
139,16,242,233,115,4
125,32,253,198,46,4
135,33,250,205,55,4
144,31,245,216,74,4
148,27,244,226,93,4
149,19,241,235,115,4
55,6,224,227,139,4
77,3,224,233,145,4
126,18,247,225,98,4
337,8,203,229,165,4
75,12,234,217,113,4
45,8,223,223,135,4
153,20,240,236,116,4
147,27,244,225,92,4
163,27,233,236,115,4
175,28,223,241,132,4
160,25,236,235,114,4
8,20,193,196,137,4
293,23,151,228,215,4
47,13,224,212,120,4
277,4,209,240,169,4
51,10,225,219,127,4
65,10,230,221,123,4
74,10,232,222,122,4
81,12,236,219,112,4
103,24,252,201,63,4
106,26,253,199,57,4
109,27,254,199,55,4
165,16,232,243,137,4
212,21,198,254,185,4
153,20,240,236,116,4
132,27,251,214,72,4
126,32,253,200,48,4
123,34,253,192,36,4
126,30,253,204,55,4
130,19,247,226,100,4
9,9,210,222,149,4
30,7,218,226,143,4
8,10,208,219,148,4
67,17,234,204,96,4
36,6,220,226,143,4
162,5,224,241,151,4
128,8,234,235,133,4
177,5,222,242,155,4
313,8,198,234,176,4
229,14,199,252,188,4
118,9,236,232,127,4
178,17,225,248,149,4
38,24,211,179,91,4
351,6,210,230,159,4
37,12,219,214,128,4
66,12,232,215,114,4
85,11,236,221,114,4
100,11,238,225,116,4
108,14,243,223,106,4
109,19,249,215,86,4
107,24,252,204,65,4
156,19,238,238,121,4
205,22,201,254,178,4
142,29,247,219,80,4
135,30,250,211,66,4
127,32,253,201,49,4
113,19,249,217,87,4
52,3,221,233,149,4
28,12,215,213,133,4
36,4,220,230,147,4
341,13,192,220,166,4
83,8,231,227,128,4
337,13,190,221,170,4
155,4,224,240,150,4
216,11,209,250,176,4
245,23,167,250,216,4
346,19,181,207,162,4
32,6,219,226,144,4
55,13,228,211,113,4
73,15,237,209,100,4
82,14,239,214,103,4
121,22,251,216,81,4
111,28,254,197,50,4
108,28,254,196,50,4
110,28,254,197,52,4
138,20,246,228,101,4
191,25,210,249,159,4
141,30,247,216,75,4
141,32,247,212,67,4
146,32,244,217,75,4
143,32,246,214,70,4
66,5,225,230,141,4
317,8,198,233,174,4
98,15,243,218,100,4
47,10,224,219,129,4
8,19,195,199,137,4
18,12,211,215,140,4
280,8,198,241,183,4
57,23,229,184,77,4
347,11,198,222,162,4
49,13,225,211,117,4
92,17,244,212,91,4
100,17,246,215,93,4
106,21,250,210,79,4
114,23,252,209,71,4
123,27,253,209,65,4
116,26,254,204,61,4
108,25,253,202,62,4
99,25,251,196,58,4
111,23,252,208,71,4
168,19,231,244,135,4
162,28,234,234,112,4
138,32,248,211,65,4
145,28,245,222,85,4
110,5,228,234,140,4
324,13,187,226,179,4
49,5,222,228,141,4
326,9,199,231,171,4
117,20,250,216,84,4
40,26,211,172,82,4
69,11,232,218,116,4
344,14,190,217,165,4
41,9,221,220,133,4
86,16,241,212,97,4
98,19,248,209,81,4
117,21,251,215,81,4
118,24,252,211,73,4
115,26,254,204,60,4
119,26,253,207,64,4
114,22,252,211,76,4
106,23,252,205,69,4
98,28,252,189,46,4
170,22,230,243,133,4
162,28,234,233,109,4
148,32,243,218,78,4
141,31,247,214,70,4
138,28,249,216,75,4
135,22,248,225,93,4
53,2,221,234,150,4
117,3,225,236,146,4
116,13,242,227,111,4
36,28,205,165,79,4
41,21,217,188,97,4
193,10,219,249,163,4
179,13,225,247,152,4
148,12,236,239,131,4
127,7,232,236,136,4
114,11,240,229,118,4
110,12,241,226,112,4
299,10,193,237,184,4
141,29,248,218,77,4
331,7,203,231,167,4
109,21,250,212,80,4
114,23,252,209,71,4
112,26,253,203,61,4
111,26,253,202,59,4
120,23,252,213,75,4
123,23,251,215,78,4
122,24,252,213,73,4
105,28,253,193,47,4
110,24,252,206,68,4
139,21,246,228,99,4
151,26,242,229,99,4
142,25,247,225,91,4
133,17,245,230,108,4
339,11,196,224,167,4
90,6,230,230,134,4
31,6,219,228,145,4
38,27,208,170,82,4
84,6,229,229,133,4
41,5,220,229,145,4
23,2,218,235,154,4
184,4,220,242,157,4
163,6,226,242,150,4
102,21,250,207,75,4
8,3,216,232,154,4
139,20,246,229,102,4
120,8,234,234,132,4
158,32,235,226,96,4
156,21,238,237,118,4
76,14,236,214,106,4
311,19,166,223,196,4
196,7,219,246,162,4
149,12,236,239,131,4
116,19,249,218,89,4
104,23,251,203,66,4
107,25,253,202,62,4
127,28,253,209,65,4
121,28,254,205,59,4
117,27,254,204,60,4
123,24,252,214,75,4
134,21,248,225,94,4
136,18,245,230,106,4
130,11,238,234,124,4
69,3,223,233,145,4
14,7,213,225,149,4
348,10,201,224,161,4
65,9,229,222,126,4
15,11,210,217,143,4
0,5,213,231,156,4
46,24,219,180,83,4
49,24,221,180,80,4
117,11,238,230,121,4
81,13,237,216,107,4
173,17,228,246,144,4
151,12,236,240,132,4
169,34,223,230,110,4
151,24,242,231,104,4
29,6,218,227,145,4
146,16,240,236,121,4
134,20,247,227,99,4
131,20,248,225,96,4
120,23,252,214,78,4
109,26,253,201,58,4
111,25,253,204,63,4
118,26,254,206,62,4
122,26,253,209,66,4
119,25,253,210,69,4
113,22,251,211,76,4
114,17,247,221,97,4
116,9,236,231,126,4
351,9,204,225,159,4
348,6,209,231,160,4
62,7,226,226,134,4
119,11,239,231,121,4
105,13,242,223,109,4
243,2,215,240,163,4
332,8,201,230,168,4
183,29,214,244,143,4
182,22,220,248,149,4
311,9,196,234,177,4
149,10,234,240,137,4
131,20,248,224,95,4
136,22,248,224,92,4
127,26,252,212,71,4
122,27,253,206,61,4
120,27,254,206,61,4
114,28,254,199,51,4
120,25,253,209,67,4
121,21,250,218,85,4
332,6,207,233,165,4
326,7,202,232,169,4
330,9,199,229,170,4
133,9,235,236,131,4
104,10,237,228,121,4
3,9,208,223,152,4
3,12,203,216,150,4
124,10,238,233,125,4
351,5,212,232,158,4
106,16,246,218,96,4
61,6,225,227,136,4
189,3,219,241,158,4
207,5,217,245,164,4
129,23,250,220,85,4
134,25,250,219,81,4
126,27,253,211,67,4
123,28,253,207,61,4
125,29,253,206,59,4
128,29,253,207,59,4
131,29,251,211,66,4
128,30,252,205,56,4
125,31,253,201,50,4
131,19,247,226,100,4
86,7,230,229,132,4
351,6,209,229,159,4
320,11,192,230,177,4
52,3,221,233,149,4
87,10,235,224,119,4
354,15,193,212,156,4
4,15,199,210,147,4
93,23,249,197,64,4
57,22,229,187,80,4
64,33,229,155,32,4
348,6,209,231,160,4
68,9,230,221,124,4
118,19,249,220,92,4
114,22,251,213,78,4
127,24,251,216,79,4
130,27,251,214,72,4
124,28,253,207,62,4
122,30,254,201,51,4
127,31,253,202,51,4
132,31,251,206,58,4
136,31,249,210,63,4
134,32,250,206,57,4
132,13,241,233,119,4
113,5,230,234,138,4
354,5,212,231,157,4
66,6,226,228,137,4
137,19,245,229,105,4
47,8,223,223,135,4
15,16,204,206,136,4
87,23,246,196,67,4
41,20,218,193,101,4
75,27,240,178,51,4
77,30,241,171,39,4
90,12,239,220,110,4
159,3,223,240,152,4
118,11,239,230,119,4
99,22,250,203,69,4
127,27,252,212,69,4
122,31,254,197,45,4
123,33,254,196,42,4
133,31,251,207,59,4
134,28,251,214,70,4
131,21,249,223,91,4
124,13,241,231,117,4
343,7,205,229,162,4
338,12,194,223,168,4
45,4,221,231,146,4
145,21,244,232,107,4
126,18,247,225,99,4
103,12,240,224,112,4
27,8,217,223,142,4
78,22,242,193,70,4
48,22,223,187,88,4
137,9,235,237,133,4
54,2,220,234,150,4
116,13,242,227,112,4
97,13,241,221,108,4
331,12,192,225,172,4
54,2,220,234,150,4
83,11,236,220,114,4
84,16,241,211,95,4
83,19,243,205,85,4
80,21,242,198,76,4
89,26,248,188,52,4
100,30,252,184,36,4
114,29,254,197,49,4
122,32,254,195,42,4
122,30,254,201,52,4
122,26,253,208,65,4
115,11,239,230,120,4
45,4,221,231,146,4
339,11,196,224,167,4
0,1,217,236,156,4
127,15,243,229,111,4
112,14,243,225,108,4
96,6,231,231,133,4
63,7,226,226,134,4
40,22,215,185,94,4
113,17,247,221,96,4
80,12,236,218,111,4
68,3,222,234,148,4
61,2,221,234,149,4
59,13,230,211,112,4
70,17,236,204,93,4
75,19,239,201,84,4
101,31,253,182,32,4
116,29,254,198,49,4
110,26,253,202,60,4
329,10,196,228,172,4
57,10,227,220,126,4
24,16,209,203,127,4
25,21,205,189,114,4
25,23,201,184,110,4
111,13,242,225,110,4
27,17,211,202,123,4
21,4,217,231,151,4
24,3,218,233,152,4
57,16,229,205,104,4
76,19,240,200,83,4
90,21,247,202,74,4
100,25,251,198,59,4
105,29,254,190,42,4
106,30,254,187,37,4
98,30,252,184,37,4
99,23,250,202,68,4
82,8,232,225,126,4
10,4,215,231,153,4
41,11,222,216,129,4
351,19,183,205,157,4
78,26,243,183,55,4
67,12,232,216,115,4
76,22,241,192,70,4
100,9,236,227,122,4
0,1,217,236,156,4
270,10,194,244,189,4
76,17,238,207,93,4
99,26,252,193,53,4
109,30,254,192,43,4
111,32,254,186,32,4
110,29,254,195,47,4
95,29,251,185,42,4
95,25,250,193,56,4
92,21,247,203,74,4
85,14,239,216,104,4
69,7,228,226,131,4
85,15,241,212,97,4
79,11,234,220,117,4
342,14,191,218,166,4
23,12,212,214,136,4
108,13,241,225,111,4
79,7,230,227,130,4
70,10,231,221,123,4
67,14,233,212,109,4
265,5,207,242,174,4
85,18,243,206,86,4
102,32,253,180,29,4
113,32,254,188,35,4
112,28,254,198,52,4
112,27,254,200,55,4
110,28,254,196,49,4
104,27,253,196,53,4
94,23,249,199,66,4
81,18,242,204,86,4
61,13,230,212,112,4
337,9,200,228,166,4
76,12,234,218,114,4
108,13,242,224,109,4
19,9,214,222,144,4
103,22,250,207,74,4
108,35,253,176,18,4
108,34,254,179,22,4
111,32,254,188,35,4
112,29,254,194,45,4
101,25,252,197,57,4
93,22,248,202,72,4
51,14,226,210,115,4
34,11,219,216,132,4
332,13,190,224,173,4
337,11,196,225,168,4
53,5,223,229,142,4
52,20,226,193,93,4
51,6,223,226,138,4
49,28,218,167,65,4
36,17,217,200,113,4
324,4,209,235,164,4
86,11,236,222,117,4
113,35,254,182,25,4
110,34,254,182,26,4
111,29,254,196,48,4
112,24,253,206,66,4
105,23,251,206,71,4
76,15,238,210,99,4
88,13,239,219,109,4
79,4,224,233,144,4
299,13,183,235,192,4
98,3,225,234,145,4
30,7,218,226,143,4
112,25,253,204,63,4
34,5,219,228,145,4
34,31,199,157,76,4
21,20,203,195,123,4
110,22,251,209,73,4
113,32,254,189,35,4
111,31,254,190,38,4
112,29,254,196,47,4
117,24,253,210,71,4
118,21,250,217,84,4
109,18,248,217,90,4
93,16,244,213,94,4
109,15,245,222,102,4
95,10,236,225,120,4
114,27,254,200,55,4
88,14,240,217,105,4
10,27,180,175,121,4
42,12,222,213,125,4
340,18,180,212,169,4
114,35,254,183,26,4
112,37,253,174,13,4
117,32,254,192,39,4
117,31,254,195,43,4
115,28,254,199,51,4
121,20,250,219,88,4
127,18,247,225,99,4
103,20,249,211,82,4
104,14,243,221,105,4
46,15,224,207,114,4
91,16,243,212,93,4
57,12,228,215,119,4
358,8,208,225,155,4
74,10,233,220,119,4
124,30,254,202,53,4
115,37,253,178,18,4
115,34,254,186,30,4
116,26,254,204,61,4
130,15,243,230,112,4
100,15,244,218,100,4
63,7,227,225,132,4
83,16,241,211,96,4
47,15,224,205,111,4
93,18,245,211,89,4
45,10,223,219,130,4
101,2,223,236,148,4
137,23,248,224,92,4
130,27,252,212,69,4
124,32,253,197,44,4
121,36,253,186,27,4
118,36,253,183,24,4
119,34,254,190,34,4
119,32,254,195,42,4
118,28,254,202,55,4
119,25,253,210,70,4
124,24,252,215,77,4
133,18,246,228,104,4
87,9,234,224,121,4
33,8,219,222,139,4
147,11,235,239,133,4
140,24,247,224,90,4
124,33,253,196,42,4
120,35,253,188,30,4
119,35,254,185,27,4
120,34,254,191,35,4
123,31,254,199,47,4
125,28,253,208,62,4
125,25,252,213,73,4
108,8,233,232,130,4
36,6,220,226,143,4
77,14,237,214,105,4
106,8,235,230,127,4
13,9,211,221,146,4
19,13,210,212,137,4
8,7,212,226,152,4
342,2,214,235,159,4
111,10,237,229,122,4
319,5,206,235,168,4
130,29,252,209,62,4
124,33,253,196,42,4
116,33,254,188,33,4
115,29,254,197,48,4
121,27,253,207,64,4
95,9,234,227,124,4
130,23,250,220,85,4
104,11,239,226,117,4
17,16,206,206,134,4
58,8,226,224,132,4
305,10,194,235,181,4
131,29,252,211,66,4
119,32,254,195,42,4
116,31,254,194,42,4
113,30,254,194,44,4
110,28,254,196,49,4
111,25,253,204,63,4
114,20,249,216,86,4
65,4,223,231,143,4
90,17,243,211,92,4
34,15,216,206,121,4
356,8,208,226,156,4
352,27,164,184,151,4
354,27,166,183,147,4
12,22,192,190,128,4
82,16,240,211,96,4
157,24,239,235,111,4
136,27,250,218,78,4
115,29,254,197,47,4
112,28,254,198,51,4
108,26,253,198,55,4
100,25,251,198,59,4
91,22,247,200,72,4
76,15,238,210,99,4
115,14,243,226,109,4
63,13,231,212,111,4
34,9,219,221,137,4
35,30,201,160,76,4
140,24,247,225,92,4
110,26,253,201,58,4
103,25,252,199,60,4
95,22,249,202,71,4
80,20,242,200,78,4
46,18,223,199,104,4
111,13,242,225,110,4
43,9,222,220,132,4
43,16,221,204,113,4
95,13,240,221,110,4
40,8,221,222,136,4
128,16,245,228,107,4
108,17,247,218,95,4
40,21,216,189,99,4
111,15,244,223,104,4
45,4,221,231,146,4
87,8,232,227,127,4
41,10,221,218,131,4
276,6,203,241,178,4
89,19,245,205,81,4
307,16,175,229,194,4
50,19,225,196,97,4
92,17,245,211,89,4
50,7,224,224,135,4
8,5,214,230,153,4
85,10,235,223,119,4
59,21,231,190,83,4
347,13,196,219,162,4
56,14,228,209,111,4
35,11,219,215,130,4
34,11,219,216,132,4
85,24,246,193,63,4
328,3,212,236,162,4
59,25,229,179,68,4
25,12,213,213,134,4
59,11,228,216,119,4
18,10,212,218,142,4
60,7,225,226,135,4
107,19,248,214,87,4
23,8,216,223,144,4
55,6,224,227,139,4
13,4,215,231,152,4
42,19,219,194,103,4
109,17,247,218,93,4
328,9,198,230,171,4
97,17,246,212,89,4
87,18,244,207,87,4
74,21,240,195,76,4
11,2,217,234,155,4
345,8,204,227,162,4
333,10,197,228,169,4
14,9,212,222,147,4
126,14,243,229,112,4
119,19,248,220,92,4
118,17,246,223,100,4
99,14,242,220,104,4
45,11,223,215,125,4
43,12,222,214,125,4
346,9,203,227,162,4
63,5,225,229,139,4
120,19,249,220,91,4
128,16,245,228,107,4
135,6,230,237,140,4
38,13,219,211,124,4
355,11,202,221,156,4
9,21,191,192,133,4
99,9,235,228,123,4
77,19,240,202,84,4
59,13,229,213,115,4
3,15,198,209,147,4
30,7,218,226,143,4
83,11,235,221,116,4
52,8,225,223,132,4
1,20,187,199,145,4
77,16,239,208,95,4
50,12,225,214,121,4
354,21,180,197,152,4
13,12,208,216,143,4
82,11,235,220,115,4
43,12,222,213,123,4
348,23,172,196,159,4
140,20,245,230,104,4
60,10,228,219,123,4
107,19,248,215,88,4
47,12,224,214,123,4
315,3,211,237,164,4
112,22,252,210,75,4
7,6,213,229,153,4
98,12,240,223,111,4
33,11,218,216,133,4
82,10,234,222,119,4
20,19,204,197,125,4
337,10,197,225,167,4
79,11,235,220,115,4
32,12,217,214,131,4
330,9,199,229,170,4
70,11,232,218,117,4
320,4,210,236,164,4
92,13,240,220,109,4
54,10,226,218,125,4
24,19,206,195,120,4
53,20,227,193,91,4
0,2,216,235,156,4
63,13,231,214,113,4
57,16,229,203,102,4
29,19,210,195,115,4
356,7,209,227,157,4
86,16,242,211,95,4
126,2,223,237,151,4
65,21,234,193,81,4
39,17,218,199,111,4
336,10,197,226,168,4
71,17,236,205,95,4
68,19,236,198,86,4
55,21,228,190,85,4
24,3,218,233,152,4
49,19,224,195,97,4
45,19,221,195,100,4
64,20,234,196,86,4
40,4,220,231,148,4
337,10,197,225,167,4
65,7,227,226,134,4
333,10,198,228,169,4
35,13,218,211,126,4
162,19,235,241,128,4
187,17,220,250,158,4
198,21,208,253,170,4
194,22,211,251,164,4
177,20,226,247,144,4
